4.107560049172014381e-07 0.000000000000000000e+00 5.564062618260092499e-05 0.000000000000000000e+00 2.349547627559174555e-04 0.000000000000000000e+00 2.949358749198277433e-04 0.000000000000000000e+00 6.801722686963927646e-04 0.000000000000000000e+00 8.160945401302928783e-04 0.000000000000000000e+00
6.770843242598880656e-07 0.000000000000000000e+00 1.075614194504630330e-04 0.000000000000000000e+00 7.888856100389135019e-04 0.000000000000000000e+00 1.482817548349108731e-03 0.000000000000000000e+00 1.999772973634548340e-03 0.000000000000000000e+00 2.055501749543463264e-03 0.000000000000000000e+00
2.950800727754714796e-06 0.000000000000000000e+00 5.888189056751320710e-04 0.000000000000000000e+00 4.368278145142181004e-03 0.000000000000000000e+00 7.749779355842727722e-03 0.000000000000000000e+00 1.123501056114705084e-02 0.000000000000000000e+00 1.404768801429078645e-02 0.000000000000000000e+00
2.446895559246512242e-05 0.000000000000000000e+00 3.959454479394901652e-03 0.000000000000000000e+00 2.801656300007593012e-02 0.000000000000000000e+00 5.154970948749621612e-02 0.000000000000000000e+00 8.296321658457704584e-02 0.000000000000000000e+00 9.375851540686276631e-02 0.000000000000000000e+00
3.920470086957044168e-05 0.000000000000000000e+00 4.325888311298748887e-03 0.000000000000000000e+00 3.486849351409039566e-02 0.000000000000000000e+00 6.783347661905297921e-02 0.000000000000000000e+00 1.039383140421854673e-01 0.000000000000000000e+00 1.444054779739525063e-01 0.000000000000000000e+00
3.240492675469088901e-05 0.000000000000000000e+00 4.712574098756797635e-03 0.000000000000000000e+00 3.609639382487972448e-02 0.000000000000000000e+00 8.420461728615442898e-02 0.000000000000000000e+00 1.301740907651776913e-01 0.000000000000000000e+00 1.650582143756306464e-01 0.000000000000000000e+00
3.554543283442509333e-05 0.000000000000000000e+00 5.596974771702455630e-03 0.000000000000000000e+00 4.378933603086342802e-02 0.000000000000000000e+00 8.069696246222540781e-02 0.000000000000000000e+00 1.171681764159562544e-01 0.000000000000000000e+00 1.767268541225330281e-01 0.000000000000000000e+00
2.486880050470502020e-05 0.000000000000000000e+00 4.917681726246388683e-03 0.000000000000000000e+00 4.180804848969436188e-02 0.000000000000000000e+00 8.783222317529386369e-02 0.000000000000000000e+00 1.332014277499173061e-01 0.000000000000000000e+00 1.703304756780983364e-01 0.000000000000000000e+00
4.006462664383643175e-05 0.000000000000000000e+00 3.991062802789267436e-03 0.000000000000000000e+00 3.615451160779329515e-02 0.000000000000000000e+00 8.404416616542458029e-02 0.000000000000000000e+00 1.412338828473531926e-01 0.000000000000000000e+00 1.666394368763525480e-01 0.000000000000000000e+00
3.157885901256914020e-05 0.000000000000000000e+00 4.852751534223051846e-03 0.000000000000000000e+00 4.163584538428002219e-02 0.000000000000000000e+00 7.616249990213466714e-02 0.000000000000000000e+00 1.273791485813527691e-01 0.000000000000000000e+00 1.678471666459848133e-01 0.000000000000000000e+00
3.484545247212351933e-05 0.000000000000000000e+00 4.680501641735605733e-03 0.000000000000000000e+00 3.832170578456738780e-02 0.000000000000000000e+00 8.629114032193918593e-02 0.000000000000000000e+00 1.188565684064399330e-01 0.000000000000000000e+00 1.876088369620581842e-01 0.000000000000000000e+00
2.711352094082266110e-05 0.000000000000000000e+00 3.755981485845151253e-03 0.000000000000000000e+00 3.069241332273606182e-02 0.000000000000000000e+00 8.833330918012800848e-02 0.000000000000000000e+00 1.238737759221272966e-01 0.000000000000000000e+00 1.764323499800538320e-01 0.000000000000000000e+00
