4.104432000000000219e-02 1.324334533785176231e-02
4.220896000000000370e-02 1.382441838626131785e-02
4.494831999999999994e-02 1.553146230004116488e-02
4.889167999999999986e-02 1.702445237820000845e-02
6.025560000000000638e-02 2.217316965704271836e-02
6.780352000000000601e-02 2.523351270849145955e-02
7.793343999999999272e-02 2.873210527904977371e-02
9.750920000000000420e-02 3.544528689910691338e-02
1.135948799999999953e-01 4.026730333391596861e-02
1.299720000000000042e-01 4.523780136125096774e-02
1.402254400000000067e-01 4.843857959113170158e-02
1.451000000000000068e-01 4.919014324028748303e-02
1.556965600000000116e-01 5.225473594006958822e-02
1.615275200000000078e-01 5.320311023473721368e-02
1.643875999999999948e-01 5.454036426574358776e-02
1.700235200000000113e-01 5.613790468845092363e-02
1.834187200000000073e-01 5.886581542424771524e-02
2.023759200000000147e-01 6.365349520767575597e-02
3.205503199999999997e-01 8.862202035553917723e-02
4.051732799999999690e-01 1.024155912644241773e-01
4.702810400000000390e-01 1.127095431297563261e-01
5.281160000000000299e-01 1.161233070834619269e-01
6.850769599999999571e-01 1.237125502976896829e-01
8.112408800000000531e-01 1.132534557566593630e-01
