9.826666666666667577e-03 9.034560802213291095e-03
2.117333333333333220e-02 7.123120414849411913e-03
4.874666666666666037e-02 5.292577611880413223e-03
6.390000000000001235e-02 8.856071363759441054e-03
8.363333333333335118e-02 1.019776664002684623e-02
1.124933333333333202e-01 1.414704366447083750e-02
1.279800000000000104e-01 1.697487162445320691e-02
1.345000000000000084e-01 2.204749922830755854e-02
1.311666666666666536e-01 2.434298895187505390e-02
1.390466666666666518e-01 2.735352993673759864e-02
1.321400000000000075e-01 2.906854657529337263e-02
1.359266666666666679e-01 3.384184063814758836e-02
1.249800000000000078e-01 3.446859504598996649e-02
1.326333333333333253e-01 3.201324378718560515e-02
1.193599999999999939e-01 3.376545506217198261e-02
1.052399999999999863e-01 3.707841780155494982e-02
3.538666666666666349e-02 2.527672271302415161e-02
1.390666666666666960e-02 1.598388633037103879e-02
5.493333333333332708e-03 9.131201697719991406e-03
3.620000000000000388e-03 8.177070923557462970e-03
3.066666666666666759e-04 1.612231028385475605e-03
