4.737333333333332980e-03 2.051208601992710392e-02
1.691733333333333283e-02 3.673506725490266467e-02
3.745466666666667083e-02 4.606922267872795573e-02
5.696133333333332910e-02 4.698240633352966655e-02
6.941733333333331701e-02 4.155892803665123258e-02
1.483480000000000076e-01 3.317601888915144154e-02
3.029960000000000431e-01 2.114852202873761244e-02
3.331826666666666825e-01 2.170431522890219067e-02
3.695760000000000156e-01 2.192232250469826685e-02
3.794146666666667334e-01 2.834073719734349003e-02
3.797613333333333951e-01 2.429305191933602698e-02
3.799546666666666628e-01 2.504195036777731240e-02
3.772373333333333134e-01 2.667912429014282494e-02
3.743293333333333472e-01 2.627581028669186830e-02
3.597239999999999882e-01 2.843087214045088990e-02
3.448000000000000509e-01 2.921935431638876188e-02
3.265346666666666953e-01 3.061708888113883961e-02
3.144026666666667191e-01 3.038733057633650689e-02
2.826506666666666612e-01 2.833406606111370588e-02
2.302346666666666986e-01 2.774629581683932603e-02
1.445680000000000021e-01 2.072962556342974536e-02
5.219200000000000922e-02 1.213042192176348039e-02
1.852533333333333462e-02 7.083409599589420361e-03
5.406666666666667259e-03 3.565195958460379375e-03
