1.688888888888888794e-05 1.129238790917837725e-04 2.577777777777777454e-05 1.308177509003165945e-04 4.755555555555555350e-05 1.848862179294252295e-04 5.777777777777777648e-05 2.027465729414585586e-04 1.320000000000000101e-04 3.221198304749106796e-04 2.239999999999999695e-04 4.363674971770842292e-04 2.959999999999999849e-04 4.887765527503528783e-04
3.155555555555555761e-05 1.477127676553217266e-04 6.355555555555554939e-05 2.061048516569738973e-04 8.799999999999999771e-05 2.481719833771195817e-04 1.062222222222222186e-04 2.737499985906759127e-04 3.022222222222222259e-04 4.520679507538279953e-04 4.475555555555555320e-04 5.601500680758970604e-04 6.071111111111111109e-04 6.855177731349863324e-04
7.200000000000000182e-05 2.299784208878608450e-04 1.275555555555555600e-04 2.971904655932053395e-04 2.239999999999999695e-04 3.874536053468805377e-04 3.035555555555555555e-04 4.586638673471854434e-04 7.195555555555556383e-04 6.793372223928223833e-04 1.053777777777777829e-03 8.210633274323734469e-04 1.406666666666666959e-03 9.820386957752735152e-04
9.866666666666666164e-05 2.781654184114193667e-04 2.075555555555555801e-04 3.633618065635624999e-04 2.888888888888888756e-04 4.376141826306663017e-04 3.768888888888889004e-04 5.131160675377765710e-04 9.946666666666667024e-04 7.945935835148450720e-04 1.411111111111111030e-03 9.826017366357064735e-04 1.901777777777777624e-03 1.126967656485949138e-03
1.328888888888888785e-04 3.124096708956619790e-04 2.542222222222222518e-04 4.123563124229598516e-04 3.795555555555556681e-04 5.064880776874280304e-04 5.124444444444443839e-04 5.924781185728756000e-04 1.256888888888888986e-03 9.528557208157790916e-04 1.902222222222222031e-03 1.116838571621578836e-03 2.459555555555555540e-03 1.242366837139776510e-03
1.648888888888888702e-04 3.623950507933381793e-04 3.471111111111111337e-04 4.936213373542092065e-04 4.915555555555556257e-04 5.797852305640829960e-04 6.897777777777778715e-04 6.898625377476691641e-04 1.651111111111111009e-03 1.110246330135905872e-03 2.516000000000000007e-03 1.343118096900723906e-03 3.370222222222222369e-03 1.579911608716774067e-03
2.013333333333333663e-04 4.008117688816959911e-04 3.755555555555555708e-04 5.085879750791024367e-04 5.560000000000000706e-04 6.176816871712052705e-04 7.573333333333333826e-04 7.487779673871583930e-04 1.949333333333333517e-03 1.175217678812139413e-03 2.819111111111111644e-03 1.431970135560027037e-03 3.829777777777778301e-03 1.675196601692167768e-03
1.959999999999999937e-04 4.041803777743023691e-04 4.204444444444444787e-04 5.660491624593994497e-04 6.195555555555555928e-04 6.600806535081925027e-04 7.937777777777777974e-04 7.553207478275474713e-04 1.968000000000000131e-03 1.188904755865043475e-03 3.022666666666666557e-03 1.501334320110194647e-03 4.005777777777777375e-03 1.801142627731657170e-03
2.182222222222222441e-04 4.196221698529509062e-04 3.915555555555555803e-04 5.469265868085265627e-04 6.239999999999999887e-04 6.467825783860475406e-04 7.533333333333332854e-04 7.318469785412794453e-04 1.918666666666666827e-03 1.218945992787758177e-03 3.005777777777777788e-03 1.529840207906824328e-03 3.895555555555555750e-03 1.829809407871705977e-03
1.982222222222222187e-04 4.019910938144933719e-04 4.124444444444444469e-04 5.588022464318517660e-04 5.937777777777778149e-04 6.459146448216372032e-04 8.093333333333333456e-04 7.756108226089603692e-04 1.990222222222222219e-03 1.227545257016901927e-03 2.870666666666666766e-03 1.516384198360374962e-03 3.988000000000000225e-03 1.827081380335963609e-03
1.955555555555555595e-04 4.025597110835289522e-04 3.657777777777777481e-04 5.098866492287559100e-04 5.862222222222222444e-04 6.543663790451731540e-04 7.751111111111111830e-04 7.487885194856957940e-04 1.921777777777777460e-03 1.211225193403688482e-03 2.844000000000000174e-03 1.538528975160171524e-03 3.846666666666666203e-03 1.873293791595335989e-03
1.751111111111111000e-04 3.820061404716221286e-04 3.568888888888889564e-04 5.103745417235328562e-04 5.653333333333333778e-04 6.195204836239311900e-04 7.568888888888888672e-04 7.588543671991906459e-04 1.846666666666667029e-03 1.225851178206845572e-03 2.738666666666667027e-03 1.524370325376642014e-03 3.733777777777777702e-03 1.912903500563772809e-03
1.839999999999999730e-04 3.871016710164187457e-04 3.466666666666666724e-04 5.007845696356719601e-04 5.662222222222223003e-04 6.258503745768829183e-04 7.106666666666665213e-04 7.372553706019925905e-04 1.839999999999999839e-03 1.257581453072170296e-03 2.791999999999999777e-03 1.574894141063314535e-03 3.601333333333333556e-03 1.798484464867675971e-03
1.897777777777777798e-04 3.968197028162914622e-04 3.662222222222222094e-04 5.156367752115992124e-04 5.271111111111111179e-04 6.334548031661935835e-04 7.013333333333333225e-04 7.204821430948295420e-04 1.827111111111111167e-03 1.199273772016595666e-03 2.677777777777777621e-03 1.550396205833118237e-03 3.627555555555555741e-03 1.887489991797520203e-03
