1.707666666666666523e-04 3.012281319126013709e-03 3.969000000000000522e-04 4.833853230774251206e-03 6.306666666666666367e-04 5.916187360867545750e-03 7.726333333333334835e-04 6.624508867246101627e-03 1.634800000000000272e-03 1.098412501264134887e-02 2.337233333333333350e-03 1.401723107508120666e-02 2.972699999999999562e-03 1.617053538724058659e-02
5.780333333333333070e-04 5.186623577263171740e-03 1.344966666666666489e-03 8.897293108893037511e-03 1.640233333333333430e-03 9.524032476436765024e-03 2.228100000000000219e-03 1.157610226817875482e-02 5.652666666666666083e-03 2.006488938973305727e-02 7.595000000000000188e-03 2.472547677329330409e-02 9.164166666666665947e-03 2.756743022672870566e-02
1.495500000000000084e-03 8.855012878778514146e-03 2.947166666666666511e-03 1.228838619614290757e-02 4.096433333333333177e-03 1.490232176358957834e-02 5.369500000000000141e-03 1.737004710461853216e-02 1.280383333333333200e-02 2.831128535829641538e-02 1.738433333333333150e-02 3.406212159993691341e-02 2.166443333333333346e-02 3.932995900089678726e-02
2.012033333333333469e-03 1.032046648811100163e-02 4.120866666666666255e-03 1.497086608212393546e-02 5.779533333333333051e-03 1.744739391567946482e-02 7.734066666666665826e-03 1.992567923046929812e-02 1.830176666666666688e-02 3.291345160992521779e-02 2.513480000000000228e-02 3.881751171348656049e-02 3.047739999999999824e-02 4.404104490025942398e-02
2.868066666666667028e-03 1.295198338462320332e-02 5.460466666666666073e-03 1.642918694830095006e-02 7.795366666666667804e-03 2.010369929139631945e-02 9.874333333333333920e-03 2.209798289185890482e-02 2.283183333333333245e-02 3.429379049680698205e-02 3.264913333333333695e-02 4.188423425644653003e-02 4.010559999999999820e-02 4.649679467776964004e-02
6.175433333333333295e-03 1.848607141820264935e-02 1.208440000000000035e-02 2.458969316549788203e-02 1.821709999999999649e-02 2.999165174272112183e-02 2.304426666666666706e-02 3.345535632942636672e-02 5.160273333333333101e-02 4.827400811198045982e-02 7.035690000000000000e-02 5.567738352080971176e-02 8.691223333333335244e-02 6.077327068988105235e-02
1.001203333333333320e-02 2.408118384130832068e-02 1.953620000000000009e-02 3.155449903833049130e-02 2.916863333333333252e-02 3.789131425712524009e-02 3.775680000000000008e-02 4.220731753807625830e-02 7.993830000000000380e-02 5.688477517265347339e-02 1.063001999999999975e-01 6.350218148452330125e-02 1.291202333333333341e-01 6.791709571685336511e-02
1.183899999999999883e-02 2.623467677839135329e-02 2.344193333333333823e-02 3.513743684821393071e-02 3.389343333333333375e-02 4.096607137065446519e-02 4.363013333333333466e-02 4.560874271433298932e-02 9.190086666666667792e-02 6.171909666045204135e-02 1.217181999999999847e-01 6.734008000757547852e-02 1.440118666666666547e-01 7.199793954817194919e-02
1.395913333333333346e-02 2.907117948385001815e-02 2.719683333333332981e-02 3.773163345663099744e-02 3.908106666666666396e-02 4.406861575840818196e-02 5.035210000000000380e-02 4.840777333159761858e-02 1.029031999999999863e-01 6.363253017464154393e-02 1.342791666666666717e-01 6.950371346893792490e-02 1.581346666666666734e-01 7.380328645497810647e-02
1.657706666666666773e-02 3.216572514435547120e-02 3.091563333333333108e-02 4.041896785255105068e-02 4.444509999999999433e-02 4.657833179340654245e-02 5.725929999999999909e-02 5.191604880487342422e-02 1.132262666666666723e-01 6.599743330914888129e-02 1.446657666666666675e-01 7.199072325477468004e-02 1.689233666666666578e-01 7.597450603546049286e-02
1.766843333333333391e-02 3.336751309600735627e-02 3.385823333333333462e-02 4.202286895900320812e-02 4.928043333333333165e-02 4.943906495689640718e-02 6.223909999999999859e-02 5.358246346697770335e-02 1.215334666666666730e-01 6.739013320446514410e-02 1.532983666666666578e-01 7.404575065907265108e-02 1.782171666666666487e-01 7.781042842686462790e-02
2.100619999999999918e-02 3.664781050613164642e-02 4.090136666666666782e-02 4.595841139695999028e-02 5.652226666666666788e-02 5.177410328399924960e-02 7.167579999999999785e-02 5.640117954759456959e-02 1.349869666666666801e-01 6.996747980406485545e-02 1.671747999999999845e-01 7.732308860635785097e-02 1.900921333333333296e-01 8.113226512788992983e-02
