1.098879999999999996e-02 4.640636114327431616e-02
3.210763333333333663e-02 7.490158575356659076e-02
7.444749999999999979e-02 9.880458530393887440e-02
1.035437333333333459e-01 1.025531957281791556e-01
1.353570666666666644e-01 9.728908755214477067e-02
2.523335999999999912e-01 9.382126193480878895e-02
3.162971333333333135e-01 1.023140799944736723e-01
3.223552666666666955e-01 1.106760714830847675e-01
3.307810000000000472e-01 1.160225505049198025e-01
3.304776333333333538e-01 1.229463139737512617e-01
3.287325666666666701e-01 1.257834208447688173e-01
3.178411000000000430e-01 1.291025939997204885e-01
3.008864333333333696e-01 1.294590766070326804e-01
2.848965666666666285e-01 1.283788070576508955e-01
2.481799666666666682e-01 1.213759740036397111e-01
1.901983666666666739e-01 9.960931976476342098e-02
1.277854999999999963e-01 7.212167757627845066e-02
8.498300000000000298e-02 4.928412135431316232e-02
6.838913333333332401e-02 4.020488015878448396e-02
4.714999999999999747e-02 2.817457920419279976e-02
2.441656666666666697e-02 1.506423155067068698e-02
7.430866666666667564e-03 4.649473867964943295e-03
