1.074577777777777771e-02 9.228408270654075984e-03
2.136888888888888519e-02 7.819817812282071207e-03
4.962933333333332392e-02 6.221165688077959915e-03
6.560977777777778075e-02 9.277868167224357504e-03
8.769688888888889367e-02 9.438925195143044872e-03
1.160115555555555622e-01 1.368759967955135437e-02
1.350995555555555561e-01 1.862232470934407566e-02
1.423822222222222156e-01 2.435837939834216773e-02
1.459573333333333278e-01 2.752214384414444076e-02
1.445995555555555367e-01 3.130234779661498351e-02
1.446204444444444404e-01 3.284307374677045144e-02
1.426026666666666554e-01 3.486101154903888111e-02
1.402271111111111079e-01 3.512206405532244252e-02
1.396395555555555723e-01 3.648057228000327334e-02
1.285977777777777553e-01 3.969466046127365783e-02
1.116057777777777621e-01 4.084940540782496660e-02
3.444266666666667004e-02 2.994714680529311779e-02
1.167688888888888943e-02 1.787340376573078732e-02
5.499999999999999681e-03 1.181485881798377199e-02
3.012000000000000354e-03 8.454435855196349228e-03
3.217777777777778171e-04 2.741427005172918790e-03
